Reklam grubu,RSA,Tema,Alan,Metin,Karakter
MÜZİKAL,RSA 1-C,"İtiraz — ""hiç sahneye çıkmadım""",Başlık 12,15–55 Yaş Arası,15
MÜZİKAL,RSA 1-C,"İtiraz — ""hiç sahneye çıkmadım""",Başlık 13,Köksal Ünal ile,15
MÜZİKAL,RSA 1-C,"İtiraz — ""hiç sahneye çıkmadım""",Başlık 14,Erken Kayıt Dönemi,18
MÜZİKAL,RSA 1-C,"İtiraz — ""hiç sahneye çıkmadım""",Başlık 15,Techne Musical Lab,18
MÜZİKAL,RSA 1-C,"İtiraz — ""hiç sahneye çıkmadım""",Açıklama 1,Daha önce sahneye çıkmamış olmanız engel değil. Program teknik temelden kuruluyor.,82
MÜZİKAL,RSA 1-C,"İtiraz — ""hiç sahneye çıkmadım""",Açıklama 2,"Drama, şan ve sahne dansı sekiz ay boyunca birlikte yürüyor. Kadıköy, 28 Eylül.",79
MÜZİKAL,RSA 1-C,"İtiraz — ""hiç sahneye çıkmadım""",Açıklama 3,"On iki kişilik grup, 15–55 yaş. Sezon sonunda seyirci önünde tam prodüksiyon.",77
MÜZİKAL,RSA 1-C,"İtiraz — ""hiç sahneye çıkmadım""",Açıklama 4,"Takvim, kontenjan ve burs imkânı için sayfadaki formu doldurun.",63
BROADWAY / DANS,RSA 2-A,Ana omurga,Başlık 1,Broadway Musical Dance,22
BROADWAY / DANS,RSA 2-A,Ana omurga,Başlık 2,Broadway Müzikal Dansı,22
BROADWAY / DANS,RSA 2-A,Ana omurga,Başlık 3,Jazz ve Theatre Dance,21
BROADWAY / DANS,RSA 2-A,Ana omurga,Başlık 4,On İki Haftalık Program,23
BROADWAY / DANS,RSA 2-A,Ana omurga,Başlık 5,Altı Hafta Seçeneği Var,23
BROADWAY / DANS,RSA 2-A,Ana omurga,Başlık 6,Kadıköy ve Taksim Pera,22
BROADWAY / DANS,RSA 2-A,Ana omurga,Başlık 7,Köksal Ünal ile,15
BROADWAY / DANS,RSA 2-A,Ana omurga,Başlık 8,Repertuvardan Koreografi,24
BROADWAY / DANS,RSA 2-A,Ana omurga,Başlık 9,Başlangıç Seviyesi Uygun,24
BROADWAY / DANS,RSA 2-A,Ana omurga,Başlık 10,On Beş Kişilik Grup,19
BROADWAY / DANS,RSA 2-A,Ana omurga,Başlık 11,26 Eylül · Kadıköy,18
BROADWAY / DANS,RSA 2-A,Ana omurga,Başlık 12,3 Ekim 19:00 · Taksim,21
BROADWAY / DANS,RSA 2-A,Ana omurga,Başlık 13,"Sahne Dansı, Fitness Değil",26
BROADWAY / DANS,RSA 2-A,Ana omurga,Başlık 14,Kontenjan Sınırlı,17
BROADWAY / DANS,RSA 2-A,Ana omurga,Başlık 15,Techne Lab İstanbul,19
BROADWAY / DANS,RSA 2-A,Ana omurga,Açıklama 1,"Jazz ve theatre dance temelleri, Broadway repertuvarından koreografi çalışması.",79
BROADWAY / DANS,RSA 2-A,Ana omurga,Açıklama 2,"On iki ya da altı hafta. Başlangıç seviyesine uygun, on beş kişilik gruplar.",76
BROADWAY / DANS,RSA 2-A,Ana omurga,Açıklama 3,"Kadıköy 26 Eylül, Taksim Pera 3 Ekim 19:00'da başlıyor. Takvim sayfada.",71
BROADWAY / DANS,RSA 2-A,Ana omurga,Açıklama 4,Köksal Ünal yürütücülüğünde sahne dansı. Erken kayıt dönemi sürüyor.,68
BROADWAY / DANS,RSA 2-B,Semt,Başlık 1,Kadıköy Broadway Dansı,22
BROADWAY / DANS,RSA 2-B,Semt,Başlık 2,Taksim Broadway Dansı,21
BROADWAY / DANS,RSA 2-B,Semt,Başlık 3,Kadıköy Jazz Dans,17
BROADWAY / DANS,RSA 2-B,Semt,Başlık 4,Müzikal Dans Atölyesi,21
BROADWAY / DANS,RSA 2-B,Semt,Başlık 5,Ayrılıkçeşme'ye 8 Dakika,24
BROADWAY / DANS,RSA 2-B,Semt,Başlık 6,Taksim Pera · 3 Ekim 19:00,26
BROADWAY / DANS,RSA 2-B,Semt,Başlık 7,Kadıköy · 26 Eylül,18
BROADWAY / DANS,RSA 2-B,Semt,Başlık 8,Altı ya da On İki Hafta,23
BROADWAY / DANS,RSA 2-B,Semt,Başlık 9,Sahne Dansı Çalışmak,20
BROADWAY / DANS,RSA 2-B,Semt,Başlık 10,Broadway Repertuvarı,20
BROADWAY / DANS,RSA 2-B,Semt,Başlık 11,On Beş Kişilik Grup,19
BROADWAY / DANS,RSA 2-B,Semt,Başlık 12,Deneyim Şartı Yok,17
BROADWAY / DANS,RSA 2-B,Semt,Başlık 13,Köksal Ünal Yürütücü,20
BROADWAY / DANS,RSA 2-B,Semt,Başlık 14,Erken Kayıt Dönemi,18
BROADWAY / DANS,RSA 2-B,Semt,Başlık 15,Techne Lab İstanbul,19
BROADWAY / DANS,RSA 2-B,Semt,Açıklama 1,"İki yakada da grup var: Kadıköy 26 Eylül, Taksim Pera 3 Ekim akşam 19:00.",73
BROADWAY / DANS,RSA 2-B,Semt,Açıklama 2,Broadway repertuvarından koreografi. Jazz ve theatre dance temeliyle kuruluyor.,79
BROADWAY / DANS,RSA 2-B,Semt,Açıklama 3,Kadıköy stüdyosu Ayrılıkçeşme metroya sekiz dakika. On beş kişilik grup.,72
BROADWAY / DANS,RSA 2-B,Semt,Açıklama 4,Altı ya da on iki haftalık iki ayrı format. Takvim için sayfayı açın.,69
BROADWAY / DANS,RSA 2-C,İtiraz / başlangıç,Başlık 1,Hiç Dans Etmediysen,19
BROADWAY / DANS,RSA 2-C,İtiraz / başlangıç,Başlık 2,Broadway'e Baştan Başla,23
BROADWAY / DANS,RSA 2-C,İtiraz / başlangıç,Başlık 3,Başlangıç Seviyesi,18
BROADWAY / DANS,RSA 2-C,İtiraz / başlangıç,Başlık 4,Teknik Temelden Kurulur,23
BROADWAY / DANS,RSA 2-C,İtiraz / başlangıç,Başlık 5,Altı Haftalık Format,20
BROADWAY / DANS,RSA 2-C,İtiraz / başlangıç,Başlık 6,12–55 Yaş Arası,15
BROADWAY / DANS,RSA 2-C,İtiraz / başlangıç,Başlık 7,Jazz Dans Temelleri,19
BROADWAY / DANS,RSA 2-C,İtiraz / başlangıç,Başlık 8,Theatre Dance Nedir,19
BROADWAY / DANS,RSA 2-C,İtiraz / başlangıç,Başlık 9,Kadıköy ve Taksim Grupları,26
BROADWAY / DANS,RSA 2-C,İtiraz / başlangıç,Başlık 10,Haftada Bir Gün,15
BROADWAY / DANS,RSA 2-C,İtiraz / başlangıç,Başlık 11,Koreografi Baştan Sona,22
BROADWAY / DANS,RSA 2-C,İtiraz / başlangıç,Başlık 12,"Zumba Değil, Sahne Dansı",24
BROADWAY / DANS,RSA 2-C,İtiraz / başlangıç,Başlık 13,On Beş Kişilik Grup,19
BROADWAY / DANS,RSA 2-C,İtiraz / başlangıç,Başlık 14,Erken Kayıt Dönemi,18
BROADWAY / DANS,RSA 2-C,İtiraz / başlangıç,Başlık 15,Broadway Musical Dance,22
BROADWAY / DANS,RSA 2-C,İtiraz / başlangıç,Açıklama 1,Daha önce dans etmemiş olmak engel değil. Program beden hizalamasıyla başlıyor.,79
BROADWAY / DANS,RSA 2-C,İtiraz / başlangıç,Açıklama 2,"Ritim, koordinasyon ve müzikle ilişki. Sonra Broadway repertuvarından koreografi.",81
BROADWAY / DANS,RSA 2-C,İtiraz / başlangıç,Açıklama 3,Altı haftalık kısa format ya da on iki haftalık tam program. 12–55 yaş.,71
BROADWAY / DANS,RSA 2-C,İtiraz / başlangıç,Açıklama 4,"Kadıköy 26 Eylül, Taksim Pera 3 Ekim. Kontenjan on beş kişiyle sınırlı.",71
ENGLISH DRAMA — YETİŞKİN,RSA 3-A,Kategori · EDL,Başlık 1,English Drama Lab,17
ENGLISH DRAMA — YETİŞKİN,RSA 3-A,Kategori · EDL,Başlık 2,Yetişkinler İçin · 18+,22
ENGLISH DRAMA — YETİŞKİN,RSA 3-A,Kategori · EDL,Başlık 3,İngilizce Drama Atölyesi,24
ENGLISH DRAMA — YETİŞKİN,RSA 3-A,Kategori · EDL,Başlık 4,Sahnede İngilizce Konuş,23
ENGLISH DRAMA — YETİŞKİN,RSA 3-A,Kategori · EDL,Başlık 5,"Kurs Değil, Sahne Çalışması",27
ENGLISH DRAMA — YETİŞKİN,RSA 3-A,Kategori · EDL,Başlık 6,Kadıköy · 14 Eylül 20:00,24
ENGLISH DRAMA — YETİŞKİN,RSA 3-A,Kategori · EDL,Başlık 7,Taksim Pera · 3 Ekim 15:00,26
ENGLISH DRAMA — YETİŞKİN,RSA 3-A,Kategori · EDL,Başlık 8,On İki Kişilik Grup,19
ENGLISH DRAMA — YETİŞKİN,RSA 3-A,Kategori · EDL,Başlık 9,B1 ve Üzeri Seviye,18
ENGLISH DRAMA — YETİŞKİN,RSA 3-A,Kategori · EDL,Başlık 10,"Gramer Değil, Akıcılık",22
ENGLISH DRAMA — YETİŞKİN,RSA 3-A,Kategori · EDL,Başlık 11,"Sınav Yok, Not Yok",18
ENGLISH DRAMA — YETİŞKİN,RSA 3-A,Kategori · EDL,Başlık 12,Aylık Katılım Mümkün,20
ENGLISH DRAMA — YETİŞKİN,RSA 3-A,Kategori · EDL,Başlık 13,Tanışma Atölyesi Var,20
ENGLISH DRAMA — YETİŞKİN,RSA 3-A,Kategori · EDL,Başlık 14,Erken Kayıt Dönemi,18
ENGLISH DRAMA — YETİŞKİN,RSA 3-A,Kategori · EDL,Başlık 15,Techne Lab İstanbul,19
ENGLISH DRAMA — YETİŞKİN,RSA 3-A,Kategori · EDL,Açıklama 1,"Doğaçlama ve sahne çalışmasıyla İngilizce pratiği. Gramer değil, akıcılık.",74
ENGLISH DRAMA — YETİŞKİN,RSA 3-A,Kategori · EDL,Açıklama 2,Yetişkinler için on iki kişilik gruplar. Kadıköy ve Taksim Pera'da ayrı saatler.,80
ENGLISH DRAMA — YETİŞKİN,RSA 3-A,Kategori · EDL,Açıklama 3,"Kadıköy 14 Eylül Pazartesi 20:00, Taksim Pera 3 Ekim 15:00'te başlıyor.",71
ENGLISH DRAMA — YETİŞKİN,RSA 3-A,Kategori · EDL,Açıklama 4,"Aylık katılım mümkün: istediğiniz ay başlar, istediğiniz ay ara verirsiniz.",75
ENGLISH DRAMA — YETİŞKİN,RSA 3-B,Konuşma kulübü ikamesi,Başlık 1,Konuşma Kulübü Değil,20
ENGLISH DRAMA — YETİŞKİN,RSA 3-B,Konuşma kulübü ikamesi,Başlık 2,İngilizceyi Kullanarak Öğren,28
ENGLISH DRAMA — YETİŞKİN,RSA 3-B,Konuşma kulübü ikamesi,Başlık 3,Toplantıda Donmamak İçin,24
ENGLISH DRAMA — YETİŞKİN,RSA 3-B,Konuşma kulübü ikamesi,Başlık 4,İngilizce Doğaçlama,19
ENGLISH DRAMA — YETİŞKİN,RSA 3-B,Konuşma kulübü ikamesi,Başlık 5,Sahne Üzerinde Pratik,21
ENGLISH DRAMA — YETİŞKİN,RSA 3-B,Konuşma kulübü ikamesi,Başlık 6,Yetişkin Grupları · 18+,23
ENGLISH DRAMA — YETİŞKİN,RSA 3-B,Konuşma kulübü ikamesi,Başlık 7,Kadıköy ve Taksim Pera,22
ENGLISH DRAMA — YETİŞKİN,RSA 3-B,Konuşma kulübü ikamesi,Başlık 8,On İki Kişilik Grup,19
ENGLISH DRAMA — YETİŞKİN,RSA 3-B,Konuşma kulübü ikamesi,Başlık 9,"Kitap Yok, Sınav Yok",20
ENGLISH DRAMA — YETİŞKİN,RSA 3-B,Konuşma kulübü ikamesi,Başlık 10,B1 ve Üzeri,11
ENGLISH DRAMA — YETİŞKİN,RSA 3-B,Konuşma kulübü ikamesi,Başlık 11,14 Eylül Pazartesi 20:00,24
ENGLISH DRAMA — YETİŞKİN,RSA 3-B,Konuşma kulübü ikamesi,Başlık 12,3 Ekim Cumartesi 15:00,22
ENGLISH DRAMA — YETİŞKİN,RSA 3-B,Konuşma kulübü ikamesi,Başlık 13,Tanışma Atölyesi · Eylül,24
ENGLISH DRAMA — YETİŞKİN,RSA 3-B,Konuşma kulübü ikamesi,Başlık 14,Erken Kayıt Dönemi,18
ENGLISH DRAMA — YETİŞKİN,RSA 3-B,Konuşma kulübü ikamesi,Başlık 15,English Drama Lab,17
ENGLISH DRAMA — YETİŞKİN,RSA 3-B,Konuşma kulübü ikamesi,Açıklama 1,"İngilizceyi konu olarak değil, ortak dil olarak kullanıyoruz. Sahnede, doğaçlamada.",83
ENGLISH DRAMA — YETİŞKİN,RSA 3-B,Konuşma kulübü ikamesi,Açıklama 2,"Kitap yok, sınav yok, not yok. Akıcılık düzeltmeyle değil kullanımla geliyor.",77
ENGLISH DRAMA — YETİŞKİN,RSA 3-B,Konuşma kulübü ikamesi,Açıklama 3,"On iki kişilik yetişkin grupları. Kadıköy 14 Eylül, Taksim Pera 3 Ekim.",71
ENGLISH DRAMA — YETİŞKİN,RSA 3-B,Konuşma kulübü ikamesi,Açıklama 4,"Tanışma atölyeleri 12, 13 ve 19 Eylül'de. Yer ayırtmak için sayfayı açın.",73
ENGLISH DRAMA — YETİŞKİN,RSA 3-C,English Acting Praxis (ayrı açılış sayfası),Başlık 1,English Acting Praxis,21
ENGLISH DRAMA — YETİŞKİN,RSA 3-C,English Acting Praxis (ayrı açılış sayfası),Başlık 2,İngilizce Oyunculuk Atölyesi,28
ENGLISH DRAMA — YETİŞKİN,RSA 3-C,English Acting Praxis (ayrı açılış sayfası),Başlık 3,On İki Haftalık Laboratuvar,27
ENGLISH DRAMA — YETİŞKİN,RSA 3-C,English Acting Praxis (ayrı açılış sayfası),Başlık 4,Kamera Önü ve Sahne,19
ENGLISH DRAMA — YETİŞKİN,RSA 3-C,English Acting Praxis (ayrı açılış sayfası),Başlık 5,Taksim Pera · 3 Ekim 11:00,26
ENGLISH DRAMA — YETİŞKİN,RSA 3-C,English Acting Praxis (ayrı açılış sayfası),Başlık 6,Finalde Masterclass,19
ENGLISH DRAMA — YETİŞKİN,RSA 3-C,English Acting Praxis (ayrı açılış sayfası),Başlık 7,Performanslar Kayda Alınır,26
ENGLISH DRAMA — YETİŞKİN,RSA 3-C,English Acting Praxis (ayrı açılış sayfası),Başlık 8,On Dört Kişilik Grup,20
ENGLISH DRAMA — YETİŞKİN,RSA 3-C,English Acting Praxis (ayrı açılış sayfası),Başlık 9,Başvuru Değerlendirmeyle,24
ENGLISH DRAMA — YETİŞKİN,RSA 3-C,English Acting Praxis (ayrı açılış sayfası),Başlık 10,Metin · Karakter · Prova,24
ENGLISH DRAMA — YETİŞKİN,RSA 3-C,English Acting Praxis (ayrı açılış sayfası),Başlık 11,Tamamen İngilizce,17
ENGLISH DRAMA — YETİŞKİN,RSA 3-C,English Acting Praxis (ayrı açılış sayfası),Başlık 12,Yetişkinler İçin · 18+,22
ENGLISH DRAMA — YETİŞKİN,RSA 3-C,English Acting Praxis (ayrı açılış sayfası),Başlık 13,Kontenjan Butik,15
ENGLISH DRAMA — YETİŞKİN,RSA 3-C,English Acting Praxis (ayrı açılış sayfası),Başlık 14,Erken Kayıt Dönemi,18
ENGLISH DRAMA — YETİŞKİN,RSA 3-C,English Acting Praxis (ayrı açılış sayfası),Başlık 15,Techne Lab İstanbul,19
ENGLISH DRAMA — YETİŞKİN,RSA 3-C,English Acting Praxis (ayrı açılış sayfası),Açıklama 1,Kamera önü ve tiyatro disiplinini İngilizce yürüten on iki haftalık laboratuvar.,80
ENGLISH DRAMA — YETİŞKİN,RSA 3-C,English Acting Praxis (ayrı açılış sayfası),Açıklama 2,"Metin, karakter ve prova disiplini. Dil, oyuncunun aracı haline geliyor.",72
ENGLISH DRAMA — YETİŞKİN,RSA 3-C,English Acting Praxis (ayrı açılış sayfası),Açıklama 3,Finalde cast direktörü süpervizörlüğünde masterclass; performanslar size teslim edilir.,87
ENGLISH DRAMA — YETİŞKİN,RSA 3-C,English Acting Praxis (ayrı açılış sayfası),Açıklama 4,"Taksim Pera, 3 Ekim 11:00. On dört kişilik grup, kabul değerlendirmeyle.",72
ENGLISH DRAMA YOUTH,RSA 4-A,Veli · kategori,Başlık 1,English Drama Youth,19
ENGLISH DRAMA YOUTH,RSA 4-A,Veli · kategori,Başlık 2,10–17 Yaş · İngilizce,21
ENGLISH DRAMA YOUTH,RSA 4-A,Veli · kategori,Başlık 3,Sekiz Aylık Sezon,17
ENGLISH DRAMA YOUTH,RSA 4-A,Veli · kategori,Başlık 4,Mayıs'ta Sahne Gösterisi,24
ENGLISH DRAMA YOUTH,RSA 4-A,Veli · kategori,Başlık 5,Hafta Sonu Grupları,19
ENGLISH DRAMA YOUTH,RSA 4-A,Veli · kategori,Başlık 6,Kadıköy · 3 Ekim,16
ENGLISH DRAMA YOUTH,RSA 4-A,Veli · kategori,Başlık 7,Taksim Pera · 4 Ekim 13:00,26
ENGLISH DRAMA YOUTH,RSA 4-A,Veli · kategori,Başlık 8,"Dil Kursu Değil, Tiyatro",24
ENGLISH DRAMA YOUTH,RSA 4-A,Veli · kategori,Başlık 9,On İki Kişilik Grup,19
ENGLISH DRAMA YOUTH,RSA 4-A,Veli · kategori,Başlık 10,"Sınav Yok, Not Yok",18
ENGLISH DRAMA YOUTH,RSA 4-A,Veli · kategori,Başlık 11,Yaşa Göre Ayrı Gruplar,22
ENGLISH DRAMA YOUTH,RSA 4-A,Veli · kategori,Başlık 12,Uluslararası Okul Öğrencisi,27
ENGLISH DRAMA YOUTH,RSA 4-A,Veli · kategori,Başlık 13,Alara Lokum Yürütücülüğünde,27
ENGLISH DRAMA YOUTH,RSA 4-A,Veli · kategori,Başlık 14,Kontenjan Sınırlı,17
ENGLISH DRAMA YOUTH,RSA 4-A,Veli · kategori,Başlık 15,Techne Lab İstanbul,19
ENGLISH DRAMA YOUTH,RSA 4-A,Veli · kategori,Açıklama 1,Sekiz ay boyunca haftada bir gün İngilizce sahne çalışması. Mayıs'ta seyircili gösteri.,87
ENGLISH DRAMA YOUTH,RSA 4-A,Veli · kategori,Açıklama 2,Dil kursu değil tiyatro. Çocuk İngilizceyi sahnede kullanarak açıyor.,69
ENGLISH DRAMA YOUTH,RSA 4-A,Veli · kategori,Açıklama 3,"Kadıköy 3 Ekim, Taksim Pera 4 Ekim 13:00'te başlıyor. Takvim sayfada.",69
ENGLISH DRAMA YOUTH,RSA 4-A,Veli · kategori,Açıklama 4,"On iki kişilik gruplar, yaşa göre ayrı. Erken kayıt dönemi ve burs imkânı için yazın.",85
ENGLISH DRAMA YOUTH,RSA 4-B,Veli · problem odaklı,Başlık 1,Çocuğu Sahnede Konuşsun,23
ENGLISH DRAMA YOUTH,RSA 4-B,Veli · problem odaklı,Başlık 2,İngilizceyi Yaşayarak,21
ENGLISH DRAMA YOUTH,RSA 4-B,Veli · problem odaklı,Başlık 3,"Kitap Yok, Sınav Yok",20
ENGLISH DRAMA YOUTH,RSA 4-B,Veli · problem odaklı,Başlık 4,Hafta Sonu Sahne Çalışması,26
ENGLISH DRAMA YOUTH,RSA 4-B,Veli · problem odaklı,Başlık 5,10–17 Yaş Grupları,18
ENGLISH DRAMA YOUTH,RSA 4-B,Veli · problem odaklı,Başlık 6,Özgüven ve İfade,16
ENGLISH DRAMA YOUTH,RSA 4-B,Veli · problem odaklı,Başlık 7,Mayıs'ta Seyirci Önünde,23
ENGLISH DRAMA YOUTH,RSA 4-B,Veli · problem odaklı,Başlık 8,Sekiz Ay · Haftada Bir Gün,26
ENGLISH DRAMA YOUTH,RSA 4-B,Veli · problem odaklı,Başlık 9,Kadıköy ve Taksim Pera,22
ENGLISH DRAMA YOUTH,RSA 4-B,Veli · problem odaklı,Başlık 10,Yaşa Göre Ayrı Sınıflar,23
ENGLISH DRAMA YOUTH,RSA 4-B,Veli · problem odaklı,Başlık 11,On İki Kişilik Grup,19
ENGLISH DRAMA YOUTH,RSA 4-B,Veli · problem odaklı,Başlık 12,3 Ekim'de Başlıyor,18
ENGLISH DRAMA YOUTH,RSA 4-B,Veli · problem odaklı,Başlık 13,Tanışma Atölyesi Var,20
ENGLISH DRAMA YOUTH,RSA 4-B,Veli · problem odaklı,Başlık 14,Erken Kayıt Dönemi,18
ENGLISH DRAMA YOUTH,RSA 4-B,Veli · problem odaklı,Başlık 15,English Drama Youth,19
ENGLISH DRAMA YOUTH,RSA 4-B,Veli · problem odaklı,Açıklama 1,"Sınıfta konuşamayan çocuk sahnede konuşuyor. Dil burada konu değil, araç.",73
ENGLISH DRAMA YOUTH,RSA 4-B,Veli · problem odaklı,Açıklama 2,"Doğaçlama, karakter ve metin çalışması. Kitap, sınav ve not yok.",64
ENGLISH DRAMA YOUTH,RSA 4-B,Veli · problem odaklı,Açıklama 3,"Yaşa göre ayrı gruplar, on iki kişi. Kadıköy 3 Ekim, Taksim Pera 4 Ekim.",72
ENGLISH DRAMA YOUTH,RSA 4-B,Veli · problem odaklı,Açıklama 4,Sekiz aylık sezon Mayıs'ta seyirci önünde bir gösteriyle bitiyor.,65
ENGLISH DRAMA YOUTH,RSA 4-C,Uluslararası okul velisi · İngilizce,Başlık 1,English Drama for Ages 10-17,28
ENGLISH DRAMA YOUTH,RSA 4-C,Uluslararası okul velisi · İngilizce,Başlık 2,Weekend Drama in English,24
ENGLISH DRAMA YOUTH,RSA 4-C,Uluslararası okul velisi · İngilizce,Başlık 3,Eight-Month Season,18
ENGLISH DRAMA YOUTH,RSA 4-C,Uluslararası okul velisi · İngilizce,Başlık 4,Stage Show Every May,20
ENGLISH DRAMA YOUTH,RSA 4-C,Uluslararası okul velisi · İngilizce,Başlık 5,Kadikoy and Taksim Pera,23
ENGLISH DRAMA YOUTH,RSA 4-C,Uluslararası okul velisi · İngilizce,Başlık 6,Small Groups of Twelve,22
ENGLISH DRAMA YOUTH,RSA 4-C,Uluslararası okul velisi · İngilizce,Başlık 7,Not a Language Course,21
ENGLISH DRAMA YOUTH,RSA 4-C,Uluslararası okul velisi · İngilizce,Başlık 8,"Theatre, Fully in English",25
ENGLISH DRAMA YOUTH,RSA 4-C,Uluslararası okul velisi · İngilizce,Başlık 9,Age-Based Classes,17
