Campaign,Campaign Daily Budget,Campaign Status,Ad Group,Max CPC,Ad Group Status,Keyword,Criterion Type,Final URL
TL - Yetiskin Programlar,330,Paused,1C Broadway Musical Dance,30,Enabled,dans kursu kadıköy,Phrase,https://www.technelabistanbul.com/atolyeler/broadway-musical-dance
TL - Yetiskin Programlar,330,Paused,1C Broadway Musical Dance,30,Enabled,kadıköy dans atölyesi,Phrase,https://www.technelabistanbul.com/atolyeler/broadway-musical-dance
TL - Yetiskin Programlar,330,Paused,1C Broadway Musical Dance,30,Enabled,çocuk dans kursu kadıköy,Phrase,https://www.technelabistanbul.com/atolyeler/broadway-musical-dance
TL - Yetiskin Programlar,330,Paused,1C Broadway Musical Dance,30,Enabled,gençler için dans kursu istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/broadway-musical-dance
TL - Yetiskin Programlar,330,Paused,1C Broadway Musical Dance,30,Enabled,çocuk müzikal kursu istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/broadway-musical-dance
TL - Yetiskin Programlar,330,Paused,1C Broadway Musical Dance,30,Enabled,gençler için müzikal kursu,Phrase,https://www.technelabistanbul.com/atolyeler/broadway-musical-dance
TL - Yetiskin Programlar,330,Paused,1C Broadway Musical Dance,30,Enabled,genç dans atölyesi istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/broadway-musical-dance
TL - Yetiskin Programlar,330,Paused,1C Broadway Musical Dance,30,Enabled,broadway dans kursu,Exact,https://www.technelabistanbul.com/atolyeler/broadway-musical-dance
TL - Yetiskin Programlar,330,Paused,1D The Auteur Lab,20,Enabled,oyun yazarlığı kursu,Phrase,https://www.technelabistanbul.com/atolyeler/auteur-lab
TL - Yetiskin Programlar,330,Paused,1D The Auteur Lab,20,Enabled,yaratıcı yazarlık kursu istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/auteur-lab
TL - Yetiskin Programlar,330,Paused,1D The Auteur Lab,20,Enabled,dramaturji eğitimi,Phrase,https://www.technelabistanbul.com/atolyeler/auteur-lab
TL - Yetiskin Programlar,330,Paused,1D The Auteur Lab,20,Enabled,senaryo yazarlığı kursu istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/auteur-lab
TL - Yetiskin Programlar,330,Paused,1D The Auteur Lab,20,Enabled,yaratıcı yazarlık atölyesi,Phrase,https://www.technelabistanbul.com/atolyeler/auteur-lab
TL - Yetiskin Programlar,330,Paused,1D The Auteur Lab,20,Enabled,oyun yazarlığı atölyesi istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/auteur-lab
TL - Yetiskin Programlar,330,Paused,1D The Auteur Lab,20,Enabled,yazarlık kursu kadıköy,Phrase,https://www.technelabistanbul.com/atolyeler/auteur-lab
TL - Yetiskin Programlar,330,Paused,1D The Auteur Lab,20,Enabled,oyun yazarlığı kursu,Exact,https://www.technelabistanbul.com/atolyeler/auteur-lab
TL - Yetiskin Programlar,330,Paused,1E English Acting Praxis,32,Enabled,ingilizce oyunculuk,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-final-project
TL - Yetiskin Programlar,330,Paused,1E English Acting Praxis,32,Enabled,ingilizce oyunculuk kursu,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-final-project
TL - Yetiskin Programlar,330,Paused,1E English Acting Praxis,32,Enabled,ingilizce oyunculuk atölyesi,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-final-project
TL - Yetiskin Programlar,330,Paused,1E English Acting Praxis,32,Enabled,ingilizce oyunculuk eğitimi,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-final-project
TL - Yetiskin Programlar,330,Paused,1E English Acting Praxis,32,Enabled,ingilizce sahne oyunculuğu,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-final-project
TL - Yetiskin Programlar,330,Paused,1E English Acting Praxis,32,Enabled,english acting workshop,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-final-project
TL - Yetiskin Programlar,330,Paused,1E English Acting Praxis,32,Enabled,english acting workshop istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-final-project
TL - Yetiskin Programlar,330,Paused,1E English Acting Praxis,32,Enabled,english acting classes istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-final-project
TL - Yetiskin Programlar,330,Paused,1E English Acting Praxis,32,Enabled,acting in english istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-final-project
TL - Yetiskin Programlar,330,Paused,1E English Acting Praxis,32,Enabled,acting workshop in english,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-final-project
TL - Yetiskin Programlar,330,Paused,1E English Acting Praxis,32,Enabled,uluslararası oyunculuk eğitimi,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-final-project
TL - Yetiskin Programlar,330,Paused,1E English Acting Praxis,32,Enabled,ingilizce oyunculuk kursu,Exact,https://www.technelabistanbul.com/atolyeler/english-drama-final-project
TL - Yetiskin Programlar,330,Paused,1E English Acting Praxis,32,Enabled,english acting workshop,Exact,https://www.technelabistanbul.com/atolyeler/english-drama-final-project
TL - Yetiskin Programlar,330,Paused,1E English Acting Praxis,32,Enabled,ingilizce oyunculuk atölyesi,Exact,https://www.technelabistanbul.com/atolyeler/english-drama-final-project
TL - Youth Veli,220,Paused,2A Turk Velisi - Urun Adi,28,Enabled,çocuklar için tiyatro kursu,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,220,Paused,2A Turk Velisi - Urun Adi,28,Enabled,gençler için tiyatro kursu istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,220,Paused,2A Turk Velisi - Urun Adi,28,Enabled,çocuk drama kursu istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,220,Paused,2A Turk Velisi - Urun Adi,28,Enabled,çocuklar için ingilizce drama,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,220,Paused,2A Turk Velisi - Urun Adi,28,Enabled,gençler için ingilizce drama,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,220,Paused,2A Turk Velisi - Urun Adi,28,Enabled,çocuk oyunculuk kursu istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,220,Paused,2A Turk Velisi - Urun Adi,28,Enabled,yaratıcı drama kursu çocuk,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,220,Paused,2A Turk Velisi - Urun Adi,28,Enabled,lise tiyatro kursu,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,220,Paused,2A Turk Velisi - Urun Adi,28,Enabled,ortaokul tiyatro kursu,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,220,Paused,2A Turk Velisi - Urun Adi,28,Enabled,kadıköy çocuk tiyatro kursu,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,220,Paused,2A Turk Velisi - Urun Adi,28,Enabled,çocuklar için oyun çıkarma atölyesi,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,220,Paused,2A Turk Velisi - Urun Adi,28,Enabled,çocuklar için oyun çıkartma atölyesi,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,220,Paused,2A Turk Velisi - Urun Adi,28,Enabled,gençler için oyun çıkarma atölyesi,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,220,Paused,2A Turk Velisi - Urun Adi,28,Enabled,gençler için oyun çıkartma atölyesi,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,220,Paused,2A Turk Velisi - Urun Adi,28,Enabled,çocuk oyun çıkarma atölyesi,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,220,Paused,2A Turk Velisi - Urun Adi,28,Enabled,oyun çıkarma atölyesi çocuk,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,220,Paused,2A Turk Velisi - Urun Adi,28,Enabled,çocuklar için ingilizce drama,Exact,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,220,Paused,2A Turk Velisi - Urun Adi,28,Enabled,gençler için tiyatro kursu istanbul,Exact,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,220,Paused,2B Turk Velisi - Bosluk,28,Enabled,hafta sonu çocuk aktivitesi istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,220,Paused,2B Turk Velisi - Bosluk,28,Enabled,cumartesi çocuk kursu,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,220,Paused,2B Turk Velisi - Bosluk,28,Enabled,okul sonrası aktivite istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,220,Paused,2B Turk Velisi - Bosluk,28,Enabled,çocuk için hafta sonu kurs,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,220,Paused,2B Turk Velisi - Bosluk,28,Enabled,çocuklar için sanat aktivitesi istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,220,Paused,2B Turk Velisi - Bosluk,28,Enabled,kadıköy çocuk aktivitesi,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,220,Paused,2B Turk Velisi - Bosluk,28,Enabled,13 yaş çocuk kursu,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,220,Paused,2B Turk Velisi - Bosluk,28,Enabled,15 yaş gençler için kurs,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,220,Paused,2C International School EN,32,Enabled,after school activities istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,220,Paused,2C International School EN,32,Enabled,extracurricular activities istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,220,Paused,2C International School EN,32,Enabled,weekend classes for kids istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,220,Paused,2C International School EN,32,Enabled,weekend activities for kids istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,220,Paused,2C International School EN,32,Enabled,drama club for kids istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,220,Paused,2C International School EN,32,Enabled,english drama for kids istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,220,Paused,2C International School EN,32,Enabled,drama classes for children istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,220,Paused,2C International School EN,32,Enabled,kids theatre istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,220,Paused,2C International School EN,32,Enabled,youth theatre istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,220,Paused,2C International School EN,32,Enabled,performing arts for kids istanbul,Phrase,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,220,Paused,2C International School EN,32,Enabled,after school activities istanbul,Exact,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,220,Paused,2C International School EN,32,Enabled,youth theatre istanbul,Exact,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,220,Paused,2C International School EN,32,Enabled,english drama for kids istanbul,Exact,https://www.technelabistanbul.com/atolyeler/english-drama-youth
